"半自然溶剤","","","","","","総要求数一覧","","",""
"","中級","昇進\n要求数","SLv1～7\n要求数","S特化\n要求数","総要求数","","","",""
"-","","39","33","8","80","","","",""
"","","","","","","","","",""
"☆","職業","名前","昇進\n1","昇進\n2","SLv\n1～7","S1\n特化","S2\n特化","S3\n特化","合計"
"6","先鋒","サイラッハ","","","5","","","","5"
"6","前衛","耀騎士ニアール","","","","3","","","3"
"6","補助","ノーシス","","","3","","","","3"
"6","補助","リィン","","","","","3","","3"
"6","特殊","リー","","","5","","","","5"
"6","(小計)","★6","0","0","13","3","3","0","19"
"5","先鋒","ワイルドメイン","","","3","","","","3"
"5","重装","アッシュロック","","","3","","","","3"
"5","狙撃","寒芒クルース","","","","","1","","1"
"5","術師","ロックロック","","","3","","","","3"
"5","医療","マルベリー","","12","","","","","12"
"5","医療","ハニーベリー","","","4","","","","4"
"5","補助","ハイディ","","","4","","","","4"
"5","補助","ウインドフリット","","","","1","","","1"
"5","特殊","エンフォーサー","","","3","","","","3"
"5","特殊","カゼマル","","13","","","","","13"
"5","(小計)","★5","0","25","20","1","1","0","47"
"4","補助","ロベルタ","","14","","","","","14"
"4","(小計)","★4","0","14","0","0","0","0","14"
